,cod_upz,upz,areas_verdes_perc
0,51.0,Los Libertadores,58.196667308694614
1,87.0,Tintal Sur,85.92484840830564
2,1.0,Paseo de los Libertadores,83.96649493770605
3,64.0,Monte Blanco,85.7781442645145
4,29.0,Minuto de Dios,37.85228883157063
5,80.0,Corabastos,27.248522944762684
6,65.0,Arborizadora,60.323306028205025
7,17.0,San Jose de Bavaria,14.91067759697552
8,31.0,Santa Cecilia,24.549297045569645
9,68.0,El Tesoro,50.63897700787926
10,28.0,El Rincón,39.82893244051298
11,35.0,Ciudad Jardin,22.458269128972006
12,38.0,Restrepo,23.821866008098972
13,40.0,Ciudad Montes,34.43418096760211
14,71.0,Tibabuyes,72.96857675154362
15,76.0,Fontibón San Pablo,61.09946910621952
16,3.0,Guaymaral,77.04946938697057
17,67.0,Lucero,46.92952364039223
18,84.0,Bosa Occidental,21.643244314564708
19,85.0,Bosa Central,40.61783411390801
20,63.0,El Mochuelo,91.39434184070555
21,55.0,Diana Turbay,43.865883402683124
22,107.0,Quinta Paredes,7.692236659845854
23,101.0,Teusaquillo,6.563104984544527
24,81.0,Gran Britalia,39.62439831961691
25,108.0,Zona Industrial,5.274500671376677
26,22.0,Doce de Octubre,18.386516429693064
27,105.0,Jardin Botánico,49.64759557579239
28,88.0,El Refugio,49.36983975501946
29,15.0,Country Club,43.752859821221875
30,89.0,San Isidro - Patios,80.20578126821502
31,47.0,Kennedy Central,25.36194674456178
32,91.0,Sagrado Corazón,57.497910193628684
33,75.0,Fontibón,21.756250143694864
34,114.0,Modelia,39.319971556333954
35,70.0,Jerusalem,51.39760714506522
36,36.0,San José,38.040910208859
37,103.0,Parque Salitre,86.4270529429057
38,27.0,Suba,45.09671933002975
39,48.0,Timiza,53.78582692195776
40,113.0,Bavaria,31.90928004667535
41,39.0,Quiroga,19.472842172561077
42,11.0,San Cristobal Norte,46.58104997330579
43,14.0,Usaquen,45.98842437561838
44,97.0,Chico Lago,20.901367153510122
45,98.0,Los Alcazares,5.806517573478257
46,96.0,Lourdes,52.232282129270985
47,92.0,La Macarena,28.15359525024237
48,94.0,La Candelaria,18.205453727514506
49,46.0,Castilla,38.0512174809153
50,60.0,Parque Entrenubes,99.8121309580716
51,56.0,Danubio,75.22957597869521
52,2.0,La Academia,67.97086135756834
53,18.0,Britalia,38.278090335970916
54,112.0,Granjas de Techo,32.15179407113189
55,78.0,Tintal Norte,80.48670782421026
56,26.0,Las Ferias,22.263158240017297
57,50.0,La Gloria,46.2253532577021
58,79.0,Calandaima,60.45037473206938
59,61.0,Ciudad Usme,89.56608785107807
60,10.0,La Uribe,47.77827320626688
61,58.0,Comuneros,62.60081792637283
62,43.0,San Rafael,27.176642310170195
63,44.0,Américas,32.68954180808607
64,13.0,Los Cedros,35.57342665235076
65,115.0,Capellania,37.27128074091378
66,62.0,Tunjuelito,74.06981106313995
67,77.0,Zona Franca,84.09150661762847
68,54.0,Marruecos,38.95926029409468
69,600.0,Parque Entre Nubes,99.8121309580716
70,20.0,La Alhambra,34.2171273486724
71,12.0,Toberin,32.39566258413993
72,69.0,Ismael Perdomo,35.622693365574925
73,59.0,Alfonso López,39.663236849183996
74,100.0,Galerias,7.286477175230878
75,83.0,Las Margaritas,69.89648425399278
76,42.0,Venecia,49.63519458766544
77,19.0,El Prado,30.455465169180698
78,23.0,Casa Blanca Suba,35.49693420141334
79,72.0,Bolivia,67.26901199375082
80,16.0,Santa Barbara,25.466349607769487
81,21.0,Los Andes,32.33643396544567
82,90.0,Pardo Rubio,53.51870976697349
83,33.0,Sosiego,42.39065052646748
84,53.0,Marco Fidel Suarez,17.730600112805615
85,66.0,San Francisco,40.28947583526996
86,57.0,Gran Yomasa,54.03354725558022
87,52.0,La Flora,63.09328361657768
88,93.0,Las Nieves,22.708062591713762
89,24.0,Niza,48.135714829031244
90,110.0,Ciudad Salitre Occidental,32.95661188314801
91,104.0,Parque Simón Bolivar  - CAN,67.92597861507286
92,106.0,La Esmeralda,27.645824305650265
93,86.0,El Porvenir,72.61246107265269
94,82.0,Patio Bonito,35.51045549447405
95,99.0,Chapinero,21.568300794212796
96,109.0,Ciudad Salitre Oriental,39.73597799098679
97,111.0,Puente Aranda,5.536149609041528
98,73.0,Garces Navas,55.122885974935826
99,74.0,Engativa,83.7302566391304
100,25.0,La  Floresta,55.2455447253054
101,102.0,La Sabana,8.460275216015644
102,45.0,Carvajal,20.92656304923201
103,37.0,Santa Isabel,8.65501450880276
104,49.0,Apogeo,45.29858791450449
105,116.0,Alamos,24.80391888221045
106,41.0,Muzu,26.057273113884566
107,34.0,20 de Julio,17.870030147323885
108,32.0,San Blas,43.42559411544516
109,95.0,Las Cruces,8.989821246737575
110,117.0,Aeropuerto El Dorado,3.855841978061684
111,9.0,Verbenal,31.543823539239288
112,30.0,Boyaca Real,26.656116692016464
